timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-11 08:56:00,0,2,396,0,1,0,399
2017-09-11 08:57:00,0,0,317,0,2,1,320
2017-09-11 08:58:00,0,0,267,0,3,0,270
2017-09-11 08:59:00,0,0,570,0,1,2,573
2017-09-11 09:00:00,2,0,327,0,0,0,329
2017-09-11 09:01:00,3,0,378,0,2,0,383
2017-09-11 09:02:00,0,0,320,0,1,3,324
2017-09-11 09:03:00,0,0,448,0,2,0,450
2017-09-11 09:04:00,0,0,287,0,3,2,292
2017-09-11 09:05:00,0,0,375,0,1,1,377
2017-09-11 09:06:00,0,0,172,0,2,0,174
2017-09-11 09:07:00,0,0,323,1,0,0,324
2017-09-11 09:08:00,1,0,395,0,7,3,406
2017-09-11 09:09:00,0,0,394,0,3,3,400
2017-09-11 09:10:00,0,0,231,0,0,1,232
2017-09-11 09:11:00,0,0,654,0,0,0,654
2017-09-11 09:12:00,2,0,586,0,3,2,593
2017-09-11 09:13:00,0,0,552,0,0,0,552
2017-09-11 09:14:00,2,0,684,0,6,1,693
2017-09-11 09:15:00,0,0,1021,0,1,4,1026
2017-09-11 09:16:00,0,0,717,0,2,2,721
2017-09-11 09:17:00,0,0,756,0,3,0,759
2017-09-11 09:18:00,0,0,947,0,0,1,948
2017-09-11 09:19:00,0,0,690,0,0,0,690
2017-09-11 09:20:00,1,0,475,0,15,2,493
2017-09-11 09:21:00,0,0,436,1,0,0,437
2017-09-11 09:22:00,0,0,587,0,0,0,587
2017-09-11 09:23:00,0,0,498,0,0,1,499
2017-09-11 09:24:00,0,0,337,0,3,0,340
2017-09-11 09:25:00,0,0,573,0,7,9,589
2017-09-11 09:26:00,2,0,513,0,0,3,518
2017-09-11 09:27:00,0,0,639,0,4,2,645
2017-09-11 09:28:00,0,0,536,0,4,3,543
2017-09-11 09:29:00,0,0,674,0,1,7,682
2017-09-11 09:30:00,0,0,557,0,6,1,564
2017-09-11 09:31:00,1,0,796,0,1,1,799
2017-09-11 09:32:00,0,0,582,0,0,0,582
2017-09-11 09:33:00,2,0,348,0,2,1,353
2017-09-11 09:34:00,0,0,579,0,0,4,583
2017-09-11 09:35:00,1,0,478,0,4,1,484
